quarter_end,y_true,y_hat
2014-12-31,0.0080206948667855,0.01398207532566664
2015-03-31,0.0150731321176628,0.01398207532566664
2015-06-30,0.0482072271104764,0.01398207532566664
2015-09-30,0.0320663418668031,0.01398207532566664
2015-12-31,-0.0219097570148112,0.01398207532566664
2016-03-31,0.0124320769414874,0.01398207532566664
2016-06-30,0.0765400753608547,0.01398207532566664
2016-09-30,-0.019484458404305,0.01398207532566664
2016-12-31,0.0775958759826858,0.01398207532566664
2017-03-31,-0.0068714198250172,0.01398207532566664
2017-06-30,-0.006785711719909,0.01398207532566664
2017-09-30,0.0912713907522857,0.01398207532566664
2017-12-31,-0.0728532873224648,0.01398207532566664
2018-03-31,-0.0900773363333808,0.01398207532566664
2018-06-30,-0.0766578328913732,0.01398207532566664
2018-09-30,0.0482509038346342,0.01398207532566664
2018-12-31,-0.0486634616231882,0.01398207532566664
2019-03-31,-0.0472929807447012,0.01398207532566664
2019-06-30,-0.0655529353461091,0.01398207532566664
2019-09-30,0.0066898935837598,0.01398207532566664
2019-12-31,-0.0222310428191143,0.01398207532566664
2020-03-31,0.0581173650365476,0.01398207532566664
2020-06-30,0.0632226881632225,0.01398207532566664
2020-09-30,-0.0158398849881704,0.01398207532566664
2020-12-31,0.0860656369469823,0.01398207532566664
2021-03-31,0.0681685014035098,0.01398207532566664
2021-06-30,0.0059132424574457,0.01398207532566664
2021-09-30,0.0169287434243864,0.01398207532566664
2021-12-31,-0.0310349097544683,0.01398207532566664
2022-03-31,-0.0126526202275516,0.01398207532566664
2022-06-30,0.0760865232566379,0.01398207532566664
2022-09-30,-0.0317234921517148,0.01398207532566664
2022-12-31,-0.0055999997614507,0.01398207532566664
2023-03-31,0.0850409533976972,0.01398207532566664
2023-06-30,0.1103537522789719,0.01398207532566664
2023-09-30,0.0326629103680669,0.01398207532566664
2023-12-31,0.013611381324504,0.01398207532566664
2024-03-31,0.0839445330934964,0.01398207532566664
2024-06-30,0.0042682250598247,0.01398207532566664
